Highest Offense Description,Latitude,Longitude,year
FAMILY DISTURBANCE,30.19245597,-97.81227645,2022
FAMILY DISTURBANCE,30.3805642,-97.65216055,2022
DOC DISCHARGE GUN - PUB PLACE,30.22646107,-97.69380835,2022
FAMILY DISTURBANCE,30.18794911,-97.77296006,2022
FAMILY DISTURBANCE,,,2022
FAMILY DISTURBANCE,30.27085307,-97.69266431,2022
DATING DISTURBANCE,30.28805303,-97.74411466,2022
FAMILY DISTURBANCE,30.15512649,-97.83866319,2022
FAMILY DISTURBANCE/PARENTAL,30.29103876,-97.63891803,2022
FAMILY DISTURBANCE,30.36202924,-97.6437539,2022
CRIMINAL MISCHIEF,30.29072939,-97.74181487,2022
DOC EXPOSURE,30.26743058,-97.74354926,2022
THEFT BY SHOPLIFTING,30.4705168,-97.80651783,2022
POSS CONTROLLED SUB/NARCOTIC,30.41248349,-97.70685965,2022
FAMILY DISTURBANCE,30.33174263,-97.68835022,2022
FAMILY DISTURBANCE,30.30836128,-97.69741027,2022
FAMILY DISTURBANCE,30.26835218,-97.69770102,2022
ASSAULT WITH INJURY,30.26046268,-97.75575974,2022
FAMILY DISTURBANCE,30.29956269,-97.641295,2022
CRIMINAL MISCHIEF,30.25720696,-97.74651326,2022
INDECENT ASSAULT,30.16548757,-97.78952006,2022
DAMAGE CITY VEHICLE,30.25893229,-97.69997951,2022
POSSESSION OF MARIJUANA,30.34369951,-97.70538698,2022
FAMILY DISTURBANCE,30.19695184,-97.75669429,2022
IDENTITY THEFT,30.34262772,-97.69364542,2022
BURGLARY NON RESIDENCE,30.36582418,-97.72793473,2022
FORGERY AND PASSING,30.25614721,-97.76561058,2022
TERRORISTIC THREAT,30.4111283,-97.74506741,2022
BURGLARY NON RESIDENCE,30.23706273,-97.75097104,2022
AUTO THEFT,30.24608752,-97.76689493,2022
AGG ASSAULT,30.351575,-97.71404885,2022
THEFT,30.32113301,-97.70607134,2022
BURGLARY OF VEHICLE,30.39001822,-97.73657334,2022
BURGLARY OF VEHICLE,30.28117529,-97.75138175,2022
BURGLARY OF VEHICLE,30.37774224,-97.6764808,2022
