Highest Offense Description,Latitude,Longitude,year
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.38691898,-97.64722828,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.2502033,-97.75053725,2021
IDENTITY THEFT,30.15174062,-97.84514633,2021
CRIMINAL MISCHIEF,30.15666667,-97.79045165,2021
INDECENT EXPOSURE,30.28528129,-97.71503967,2021
AUTO THEFT,30.36949756,-97.62068235,2021
FAMILY DISTURBANCE,30.2591328,-97.72686614,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.20750716,-97.75831583,2021
ASSAULT BY THREAT,30.19329576,-97.92358974,2021
CRIMINAL TRESPASS,30.25606832,-97.72197488,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.35245508,-97.7952955,2021
BURGLARY OF RESIDENCE,30.36983057,-97.71586851,2021
VIOL CITY ORDINANCE - WRECKER,30.24785409,-97.7746377,2021
ROBBERY BY THREAT,30.21227287,-97.7526851,2021
BURGLARY NON RESIDENCE,30.45091465,-97.78644523,2021
CRIMINAL MISCHIEF,30.35833918,-97.69865776,2021
THEFT,30.25788603,-97.80700704,2021
THEFT,30.41482764,-97.66781711,2021
ASSAULT BY THREAT,30.27877743,-97.67195099,2021
CRIMINAL TRESPASS,30.28924329,-97.72374266,2021
INDECENT ASSAULT,30.29453667,-97.73424872,2021
THEFT,30.26743058,-97.74354926,2021
DEBIT CARD ABUSE,30.4130011,-97.67350346,2021
FAMILY DISTURBANCE,30.18128599,-97.76038216,2021
CRIMINAL MISCHIEF,30.21795096,-97.76657845,2021
HARASSMENT,30.39441176,-97.69230381,2021
HARASSMENT,30.41599004,-97.76294896,2021
MAIL THEFT,30.25182226,-97.76512684,2021
FAMILY DISTURBANCE,30.31990868,-97.70430715,2021
FAMILY DISTURBANCE,30.43798685,-97.83720369,2021
THEFT OF LICENSE PLATE,30.402931,-97.67558356,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.20164494,-97.86551516,2021
FAMILY DISTURBANCE,30.31954402,-97.70328992,2021
FAMILY DISTURBANCE,30.36279122,-97.72620882,2021
AUTO THEFT,30.32029813,-97.69541662,2021
INDECENCY WITH CHILD/EXPOSURE,,,2021
FORCED SODOMY,,,2021
BURGLARY OF RESIDENCE,30.27175094,-97.73809103,2021
FRAUD - OTHER,30.39504628,-97.64656402,2021
AGG ASSAULT,30.26035887,-97.7581197,2021
SERIOUS INJURY TO A CHILD,,,2021
FAILURE TO REG AS SEX OFFENDER,,,2021
RAPE,,,2021
